,Open,neg,neu,pos,compound,label
418,30.75,0.071,0.893,0.035,-0.6658,1
419,30.610001,0.115,0.679,0.206,0.8519,0
420,30,0.065,0.592,0.343,0.8555,0
421,29.84,0,1,0,0,0
422,29.9,0.044,0.956,0,-0.296,0
423,28.370001,0.109,0.763,0.128,0.4287,1
424,28.379999,0.081,0.809,0.11,0.3661,0
425,28,0.122,0.76,0.118,-0.0813,1
426,27.969999,0.064,0.819,0.116,0.5584,1
427,28.030001,0,0.916,0.084,0.6486,0
428,27.809999,0.245,0.654,0.101,-0.7783,1
429,28.530001,0.074,0.712,0.214,0.5994,1
430,28.59,0,0.941,0.059,0.7351,1
431,28.84,0.121,0.834,0.045,-0.743,0
432,28.52,0.085,0.76,0.154,0.6249,1
433,28.27,0.084,0.845,0.071,-0.296,1
434,28.77,0.075,0.887,0.038,-0.6098,1
435,29.08,0.105,0.895,0,-0.7579,0
436,28.459999,0.029,0.876,0.095,0.8437,1
437,28.52,0.024,0.908,0.068,0.743,1
438,28.559999,0.023,0.915,0.063,0.4215,1
439,28.889999,0.059,0.797,0.145,0.8979,1
440,29.32,0,0.933,0.067,0.3612,0
441,29.719999,0.03,0.89,0.08,0.5267,0
442,30.09,0,1,0,0,0
443,29.639999,0.073,0.863,0.065,0.1027,0
444,29.16,0.192,0.808,0,-0.6124,1
445,29.32,0.039,0.806,0.155,0.9062,1
446,30.25,0.058,0.741,0.201,0.7845,1
447,30.15,0.067,0.824,0.109,0.5423,1
448,30.82,0.026,0.892,0.082,0.6705,1
449,30.790001,0,0.799,0.201,0.7003,0
450,31.219999,0.164,0.791,0.045,-0.936,1
451,31.040001,0.019,0.941,0.041,0.4019,1
452,31.120001,0.179,0.821,0,-0.8429,0
453,31.07,0,0.866,0.134,0.928,0
454,29.77,0,0.783,0.217,0.6124,1
455,28.98,0,0.799,0.201,0.891,1
456,29.26,0,0.965,0.035,0.4767,0
457,29.120001,0.028,0.932,0.04,-0.09,0
458,28.870001,0,0.861,0.139,0.5719,0
459,27.65,0.064,0.796,0.14,0.8748,0
460,26.629999,0.049,0.81,0.141,0.3182,1
461,25.65,0,0.851,0.149,0.4215,1
462,25.73,0.045,0.879,0.076,0.624,1
463,25.84,0,0.851,0.149,0.9451,0
464,25.530001,0,0.909,0.091,0.296,1
465,26.1,0,0.891,0.109,0.5106,0
466,25.25,0.146,0.761,0.093,-0.6222,0
467,25.129999,0.091,0.806,0.103,0.3071,0
468,25.75,0.03,0.806,0.165,0.9246,1
469,26.469999,0,0.874,0.126,0.5574,0
470,26.16,0,0.746,0.254,0.9231,0
471,25.049999,0.015,0.874,0.111,0.7906,0
472,24.51,0,1,0,0,0
473,24.129999,0,1,0,0,0
474,23.09,0.074,0.926,0,-0.4939,1
475,23.360001,0,0.96,0.04,0.2732,0
476,24.43,0.031,0.878,0.09,0.8807,1
477,25.139999,0.203,0.675,0.122,-0.228,0
478,25.5,0,0.919,0.081,0.3182,1
479,24.959999,0.058,0.91,0.032,-0.431,1
480,24.860001,0,0.89,0.11,0.3566,1
481,25.51,0.033,0.913,0.054,0.25,1
482,25.84,0.091,0.831,0.078,-0.0772,0
483,26.139999,0.207,0.793,0,-0.7184,1
484,25.75,0.139,0.812,0.049,-0.6369,1
485,26.200001,0,0.797,0.203,0.6808,0
486,25.18,0.14,0.716,0.143,0.0258,1
487,25.33,0.058,0.778,0.164,0.7089,0
488,24.68,0.129,0.684,0.187,0.6369,1
489,24.35,0.139,0.861,0,-0.4404,1
490,24.360001,0.03,0.81,0.159,0.8555,1
491,24.620001,0,0.891,0.109,0.5859,0
492,24.440001,0.054,0.89,0.056,0.2732,0
493,24,0.091,0.909,0,-0.296,1
494,24.09,0.115,0.813,0.072,-0.4939,0
495,23.74,0.051,0.919,0.03,-0.5272,0
496,23.67,0,0.872,0.128,0.5859,1
497,23.879999,0,0.952,0.048,0.5267,1
498,25.040001,0.034,0.966,0,-0.0516,0
499,25.1,0.106,0.812,0.083,-0.4019,1
500,25.4,0,0.788,0.212,0.5106,0
501,25.280001,0.01,0.884,0.106,0.8885,1
502,24.889999,0.05,0.886,0.063,0,0
503,24.639999,0.101,0.836,0.063,-0.2732,1
504,24.85,0.018,0.9,0.082,0.7845,0
505,24.629999,0,0.745,0.255,0.9001,0
506,24.610001,0.058,0.865,0.077,0.2846,0
507,23.959999,0.035,0.842,0.123,0.882,0
508,24.059999,0.103,0.804,0.093,-0.128,1
509,24.620001,0.245,0.736,0.018,-0.9566,0
510,24.65,0,0.928,0.072,0.7964,1
511,25.290001,0.063,0.912,0.024,-0.2732,0
512,25.360001,0.112,0.801,0.086,-0.1154,1
513,25.27,0,0.909,0.091,0.2023,0
514,25.26,0,0.775,0.225,0.7003,1
515,25.52,0.026,0.784,0.19,0.9246,0
516,26.209999,0.105,0.895,0,-0.4019,1
517,26.879999,0.048,0.894,0.058,0.3736,1
518,27.059999,0.088,0.912,0,-0.34,1
519,27.41,0,0.963,0.037,0.5927,0
520,27.17,0,0.927,0.073,0.296,0
521,26.809999,0.055,0.839,0.106,0.2732,1
522,27.01,0,1,0,0,0
523,26.469999,0.047,0.857,0.096,0.5106,0
524,26.040001,0.011,0.926,0.063,0.6705,0
525,25.799999,0.18,0.765,0.055,-0.743,0
526,25.65,0.04,0.931,0.029,-0.347,1
527,25.200001,0,0.924,0.076,0.4019,1
528,25.190001,0.094,0.906,0,-0.3818,1
529,25.049999,0,0.765,0.235,0.7717,1
530,26.24,0.026,0.873,0.101,0.8225,1
531,26.809999,0.056,0.773,0.171,0.9693,1
532,27.08,0.115,0.885,0,-0.357,0
533,26.83,0,0.946,0.054,0.2263,1
534,27.27,0.033,0.868,0.098,0.5994,0
535,27.530001,0,0.906,0.094,0.4215,1
536,27.92,0.075,0.841,0.084,0.0772,0
537,27.950001,0,1,0,0,0
538,28.01,0,0.862,0.138,0.631,1
539,27.969999,0,0.924,0.076,0.8105,1
540,27.969999,0.096,0.803,0.102,-0.09,1
541,27.92,0.057,0.722,0.221,0.9769,0
542,27.799999,0.131,0.828,0.041,-0.6597,1
543,27.940001,0,0.922,0.078,0.3182,1
544,27.9,0.079,0.861,0.06,-0.1531,1
545,28.639999,0.102,0.774,0.124,0.0772,0
546,28.08,0.032,0.774,0.194,0.9153,1
547,28.16,0,0.876,0.124,0.7003,1
548,28.5,0.06,0.825,0.115,0.875,0
549,28.02,0,1,0,0,1
550,28.75,0.084,0.745,0.171,0.6597,1
551,28.9,0.032,0.732,0.235,0.9462,0
552,27.799999,0,1,0,0,1
553,27.700001,0.078,0.863,0.059,-0.1779,1
554,28.1,0,1,0,0,1
555,27.76,0.073,0.769,0.157,0.3384,0
556,27.209999,0.113,0.759,0.129,-0.0772,1
557,27.049999,0,1,0,0,0
558,27.129999,0.041,0.959,0,-0.3612,0
559,26.639999,0.099,0.792,0.109,-0.0772,1
560,26.690001,0.022,0.937,0.041,0.3182,0
561,26.6,0.443,0.557,0,-0.9442,0
562,26.26,0.038,0.962,0,-0.34,0
563,26.219999,0,1,0,0,0
564,25.620001,0,0.896,0.104,0.9287,0
565,25.41,0.025,0.887,0.089,0.4767,1
566,25.059999,0.07,0.917,0.013,-0.7184,0
567,25.059999,0,1,0,0,0
568,25.299999,0.093,0.692,0.215,0.4974,0
569,25.23,0.075,0.738,0.187,0.893,1
570,25.93,0,0.899,0.101,0.6908,0
