,neg,neu,pos,compound,Open,High,Low,Close,Volume,label
2211,0.214,0.733,0.053,-0.997,16852.49023,16871.26953,16801.93945,16826.59961,90360000,1
2212,0.118,0.821,0.061,-0.9826,16828.5293,16998.69922,16828.5293,16956.07031,74050000,1
2213,0.237,0.718,0.044,-0.9974,16949.71094,16986.63086,16949.71094,16976.24023,57840000,1
2214,0.126,0.797,0.077,-0.9635,16979,17074.65039,16979,17068.25977,66800000,0
2218,0.141,0.774,0.085,-0.9659,17063.83008,17063.83008,16992.44922,17024.21094,61480000,0
2219,0.136,0.797,0.067,-0.988,17022.08984,17022.08984,16874.78906,16906.61914,75250000,1
2220,0.171,0.802,0.028,-0.995,16916.83008,16998.94922,16913.81055,16985.60938,67120000,0
2221,0.126,0.802,0.071,-0.9784,16980.34961,16980.34961,16805.38086,16915.07031,67510000,1
2222,0.165,0.778,0.058,-0.9899,16918.31055,16949.46094,16860.30078,16943.81055,61000000,1
2225,0.134,0.812,0.055,-0.9854,16950.92969,17088.42969,16950.92969,17055.41992,60570000,1
2226,0.113,0.831,0.056,-0.979,17055.0293,17120.33984,17006.39063,17060.67969,101730000,1
2227,0.156,0.794,0.051,-0.9942,17061.91016,17139.34961,17061.91016,17138.19922,111500000,0
2228,0.15,0.791,0.059,-0.9876,17133.44922,17151.56055,16966.18945,16976.81055,99240000,1
2229,0.172,0.777,0.051,-0.9947,16978.16016,17113.50977,16977.51953,17100.17969,112530000,0
2232,0.21,0.763,0.027,-0.9978,17095.10938,17095.10938,16974.33984,17051.73047,67590000,1
2233,0.156,0.774,0.07,-0.9878,17054.9707,17133.42969,17040.13086,17113.53906,77960000,0
2234,0.218,0.749,0.033,-0.9971,17117.00977,17121.05078,17058.05078,17086.63086,73440000,0
2235,0.164,0.802,0.033,-0.9959,17092.01953,17119.83008,17061.07031,17083.80078,66390000,0
2236,0.164,0.767,0.069,-0.9911,17079.5,17082.33008,16915.65039,16960.57031,67290000,1
2239,0.117,0.841,0.042,-0.9855,16956.91016,17001.38086,16877.7207,16982.58984,66190000,0
2240,0.118,0.782,0.1,-0.6818,16984.33008,17056.46094,16912.10938,16912.10938,75980000,0
2241,0.186,0.75,0.064,-0.9929,16920.10938,16983.93945,16817.16016,16880.35938,77750000,0
2242,0.204,0.747,0.049,-0.9976,16869.63086,16869.63086,16563.30078,16563.30078,101670000,0
2243,0.176,0.768,0.057,-0.9928,16561.69922,16584.75,16437.07031,16493.36914,84860000,1
2246,0.15,0.824,0.027,-0.9948,16493.7207,16596.2207,16447.19922,16569.2793,76260000,0
2247,0.125,0.817,0.058,-0.9878,16559.9707,16559.9707,16369.54981,16429.4707,76630000,1
2248,0.198,0.778,0.024,-0.9981,16425.09961,16490.69922,16372.32031,16443.33984,78600000,0
2249,0.178,0.766,0.056,-0.9918,16448.28906,16504.34961,16333.78027,16368.26953,80430000,1
2250,0.139,0.824,0.037,-0.9808,16369.67969,16556.58984,16364.21973,16553.92969,82420000,1
2253,0.166,0.791,0.043,-0.996,16557.26953,16627.99023,16557.26953,16569.98047,65560000,0
2254,0.137,0.807,0.057,-0.9877,16565.55078,16589.31055,16518.06055,16560.53906,62770000,1
2255,0.122,0.758,0.12,-0.7046,16567.53906,16670.28906,16567.53906,16651.80078,66020000,1
2256,0.113,0.812,0.076,-0.9676,16657.32031,16714.2207,16651.66992,16713.58008,62370000,0
2257,0.14,0.826,0.034,-0.9943,16717.00977,16775.26953,16575.41992,16662.91016,109180000,1
2260,0.126,0.793,0.081,-0.9643,16664.44922,16840.2793,16664.44922,16838.74023,75670000,1
2261,0.172,0.791,0.037,-0.9958,16839.06055,16929.13086,16839.06055,16919.58984,67220000,1
2262,0.134,0.815,0.051,-0.9864,16910.0293,16994.89063,16896.55078,16979.13086,61960000,1
2263,0.206,0.727,0.067,-0.9967,16983.88086,17074.58984,16983.88086,17039.49023,65160000,0
2264,0.186,0.761,0.052,-0.9966,17038.26953,17064.2793,16984.51953,17001.2207,64330000,1
2267,0.122,0.831,0.046,-0.9848,17011.81055,17124.74023,17011.81055,17076.86914,57400000,1
2268,0.152,0.772,0.076,-0.9808,17079.57031,17153.80078,17079.57031,17106.69922,50710000,1
2269,0.165,0.784,0.051,-0.9959,17111.0293,17134.59961,17090.60938,17122.00977,61690000,0
2270,0.148,0.803,0.049,-0.9903,17119.06055,17119.06055,17018.33008,17079.57031,51860000,1
2271,0.167,0.788,0.045,-0.9946,17083.41992,17110.41992,17035.38086,17098.44922,81500000,0
2275,0.114,0.834,0.053,-0.9807,17097.41992,17113.50977,17009.07031,17067.56055,64820000,1
2276,0.185,0.747,0.068,-0.9893,17067.24023,17151.89063,17060.21094,17078.2793,62770000,0
2277,0.146,0.785,0.069,-0.9865,17083.60938,17161.55078,17030.11914,17069.58008,68120000,1
2278,0.134,0.788,0.078,-0.9863,17065.89063,17137.35938,17009.61914,17137.35938,76630000,0
2281,0.158,0.79,0.052,-0.9931,17131.71094,17137.88086,17079.16992,17111.41992,65640000,0
2282,0.125,0.839,0.036,-0.9853,17110.39063,17111.55078,16993.28906,17013.86914,69030000,1
2283,0.098,0.797,0.105,0.6381,17016.05078,17080.26953,16974.57031,17068.71094,76780000,0
2284,0.137,0.774,0.089,-0.9623,17057.41016,17057.41016,16983.88086,17049,63650000,0
2285,0.133,0.781,0.086,-0.9672,17044.05078,17044.05078,16937.66992,16987.50977,82820000,1
2288,0.088,0.864,0.049,-0.9559,16988.75977,17051.84961,16951.38086,17031.14063,71740000,1
2289,0.126,0.793,0.081,-0.9799,17027.16016,17167.05078,16985.55078,17131.9707,73200000,1
2290,0.145,0.797,0.059,-0.9913,17131.00977,17221.10938,17089.00977,17156.84961,87810000,1
2291,0.142,0.81,0.048,-0.9915,17163.73047,17275.36914,17163.73047,17265.99023,85300000,1
2292,0.122,0.788,0.09,-0.9223,17267.21094,17350.64063,17257.46094,17279.74023,349620000,0
2295,0.129,0.786,0.085,-0.9709,17271.71094,17277.88086,17159.35938,17172.67969,74300000,0
2296,0.136,0.81,0.054,-0.9775,17165.91016,17171.88086,17055.86914,17055.86914,77090000,1
2297,0.106,0.797,0.098,-0.6059,17056.64063,17226.59961,17033.92969,17210.06055,80530000,0
2298,0.11,0.792,0.098,-0.6908,17204.85938,17204.85938,16945.80078,16945.80078,93520000,1
2299,0.121,0.782,0.097,-0.9728,16948.61914,17148.15039,16948.10938,17113.15039,74670000,0
2302,0.169,0.778,0.053,-0.9921,17107.68945,17107.68945,16934.42969,17071.2207,70220000,0
2303,0.15,0.795,0.055,-0.9958,17070.44922,17145.09961,17017.10938,17042.90039,102290000,0
2304,0.109,0.853,0.038,-0.9808,17040.46094,17041.16016,16776.13086,16804.71094,104240000,0
