,Open,Close,High,Low,Volume,neg,neu,pos,compound,label
1384,20.616785,20.819286,20.921429,20.437857,520864400,0,0.963,0.037,0.2732,0
1385,21.079287,21.048571,21.223215,20.901785,514698800,0.015,0.866,0.119,0.8485,0
1386,20.956785,20.902857,21.014286,20.809999,391319600,0.046,0.805,0.149,0.946,0
1387,20.778572,20.566071,20.778572,20.433214,557068400,0.065,0.884,0.051,-0.7057,0
1388,20.318214,19.2425,20.330357,19.241785,1044638000,0.055,0.805,0.14,0.9854,1
1389,18.890715,19.544285,19.761072,18.522499,1177212400,0.028,0.803,0.169,0.9951,0
1390,19.764286,19.044643,19.828571,18.928572,787040800,0.062,0.794,0.144,0.9873,1
1391,18.75,18.922142,19.2325,18.627857,630484400,0.04,0.874,0.086,0.9117,1
1392,19.2775,19.335358,19.627142,19.191786,592345600,0.026,0.86,0.114,0.9732,0
1393,19.563213,19.25,19.571428,19.1525,487144000,0.048,0.783,0.168,0.9927,1
1394,18.969643,18.9175,19.201429,18.778572,625259600,0.095,0.818,0.088,-0.5831,0
1395,18.383928,18.206785,18.504642,18.056429,1009579200,0.112,0.781,0.106,-0.6251,1
1396,18.176071,18.529642,18.571428,17.901072,757607200,0.017,0.888,0.095,0.9677,1
1397,18.75,19.067858,19.103571,18.580357,625685200,0.02,0.839,0.141,0.9871,0
1398,18.981071,18.796785,19.060715,18.767857,449369200,0.066,0.832,0.102,0.8705,0
1399,18.928572,18.633215,18.935715,18.531429,481689600,0.066,0.843,0.091,0.737,1
1400,18.3025,18.547501,18.559643,18.222857,596268400,0.027,0.87,0.104,0.9223,1
1401,18.583929,18.577499,18.723215,18.525356,175753200,0.077,0.757,0.166,0.9844,0
1402,18.535715,18.321428,18.552143,18.254286,302436400,0,0.916,0.084,0.9578,1
1403,18.340714,18.395,18.4375,18.023571,455120400,0.04,0.848,0.113,0.9702,1
1404,18.224644,18.199642,18.374287,18.147142,354278400,0.088,0.731,0.181,0.34,0
1405,19.779285,19.608213,19.821428,19.343929,560518000,0.047,0.871,0.082,0.8867,0
1406,19.567142,19.360714,19.631071,19.321428,352965200,0.043,0.874,0.082,0.9001,0
1407,19.1775,18.821428,19.236786,18.779642,594333600,0.065,0.797,0.138,0.9796,1
1408,18.642857,18.710714,18.903572,18.4,484156400,0.041,0.873,0.085,0.9456,0
1409,18.900356,18.761072,18.996071,18.616072,458707200,0.033,0.883,0.084,0.9628,0
1410,18.660715,18.467857,18.750357,18.428215,407604400,0.067,0.825,0.109,0.937,0
1411,18.876785,18.696785,18.882856,18.411428,601146000,0.031,0.896,0.073,0.8442,0
1412,18.607143,18.582144,18.761429,18.536428,350506800,0.045,0.921,0.033,-0.4664,0
1413,17.952858,17.919643,18.125,17.803928,734207600,0.017,0.859,0.124,0.9856,0
1414,17.796429,17.354286,17.821072,17.263571,876772400,0.061,0.888,0.051,-0.4767,1
1415,17.665714,18.074642,18.194286,17.589285,690804800,0.049,0.905,0.045,0.1803,0
1416,18.225357,17.952858,18.241072,17.929644,453678400,0.06,0.87,0.069,0.5095,1
1417,17.804285,17.857143,17.936428,17.728571,472922800,0.075,0.827,0.098,0.5647,0
1418,18.02,18.0275,18.138571,17.736786,461546400,0.127,0.818,0.055,-0.9691,1
1419,18.171785,18.3575,18.3925,18.0275,861509600,0.127,0.773,0.1,-0.8426,0
1420,16.428572,16.089285,16.633215,16.080357,1460852400,0.135,0.777,0.089,-0.9312,0
1421,16.131786,15.71,16.293928,15.535714,1208026400,0.108,0.763,0.13,0.8674,1
1422,15.636786,16.065357,16.186071,15.566428,785517600,0.029,0.841,0.129,0.915,1
1423,16.321428,16.315357,16.521429,16.232143,417155200,0.08,0.817,0.103,0.4767,0
1424,16.320715,16.2675,16.402857,16.249287,319334400,0.033,0.809,0.158,0.9615,0
1425,16.396786,16.200714,16.41,16.012501,539484400,0.093,0.85,0.057,-0.5994,0
1426,16.211071,15.797143,16.283571,15.785714,477117200,0.023,0.843,0.134,0.875,0
1427,16.3025,16.333929,16.660715,16.163572,593706400,0.047,0.815,0.138,0.9756,1
1428,16.544643,16.722143,16.785715,16.218571,704580800,0.083,0.831,0.086,0.4951,0
1429,16.928572,16.963572,17.100357,16.723215,633158400,0.092,0.791,0.117,0.8873,1
1430,17.017857,17.140358,17.319286,16.901785,517490400,0.045,0.868,0.086,0.921,0
1431,17.125357,16.710714,17.227858,16.705,609053200,0.059,0.857,0.084,0.743,1
1432,16.686071,16.678928,16.915714,16.543571,475207600,0.031,0.886,0.083,0.9325,1
1433,16.59,16.663929,16.844286,16.572144,355275200,0.026,0.869,0.105,0.9767,0
1434,16.744642,16.434286,16.79143,16.425714,391745200,0.036,0.86,0.104,0.9829,0
1435,16.467857,16.428215,16.526072,16.208929,435783600,0.066,0.751,0.183,0.9868,0
1436,16.346071,16.030357,16.346071,16.028572,476302400,0.075,0.808,0.117,0.9509,1
1437,15.928572,15.930715,16.041786,15.815,447182400,0.083,0.86,0.057,-0.9083,0
1438,16.044643,16.100357,16.128571,15.95,330654800,0.102,0.817,0.081,-0.7684,0
1439,16.208929,15.814285,16.254286,15.806071,372579200,0.094,0.808,0.099,-0.0772,1
1440,15.850715,16.034643,16.126429,15.630714,501499600,0.058,0.777,0.164,0.9855,0
1441,16.015358,15.8775,16.158571,15.7375,587350400,0.047,0.87,0.083,0.7964,0
1442,15.858929,15.764286,15.995358,15.764286,322515200,0.028,0.843,0.129,0.9698,0
1443,15.642858,15.373929,15.649285,15.356428,552448400,0.044,0.87,0.086,0.9468,0
1444,15.278571,15.001785,15.292857,14.964286,582755600,0.072,0.845,0.083,0.5849,1
1445,15.052857,15.397857,15.5425,15.026786,638433600,0.052,0.836,0.112,0.9787,0
1446,15.518214,15.202143,15.544642,15.158215,460250000,0.027,0.909,0.064,0.9324,1
1447,15.160714,15.377857,15.428928,15.037857,468473600,0.057,0.827,0.116,0.9578,1
1448,15.35,15.418571,15.551071,15.3075,391482000,0.029,0.894,0.077,0.8957,1
1449,15.348214,15.638214,15.678928,15.183572,474236000,0.038,0.871,0.091,0.9275,0
1450,15.557143,15.301071,15.674286,15.270357,465911600,0.03,0.903,0.067,0.6258,0
1451,15.301785,15.298214,15.517858,15.191428,405549200,0.032,0.856,0.111,0.97,0
1452,15.458215,15.446428,15.522857,15.373215,303875600,0.069,0.834,0.098,0.7304,1
1453,15.640357,15.845,15.865357,15.616072,643960800,0.042,0.898,0.06,0.5562,1
1454,15.766071,16.275715,16.337856,15.757143,606197200,0.018,0.932,0.05,0.4215,0
1455,16.410715,16.231785,16.463215,16.017857,526775200,0.008,0.908,0.084,0.9587,1
1456,16.079287,16.168928,16.356428,16.075001,383255600,0.056,0.833,0.111,0.9287,1
1457,16.235001,16.496786,16.503571,16.182501,395105200,0.094,0.803,0.104,0.2732,1
1458,16.596071,16.556429,16.783928,16.492144,501135600,0.05,0.834,0.116,0.9633,0
1459,16.622858,16.469286,16.637142,16.4475,294294000,0.051,0.829,0.121,0.9718,0
1460,16.302143,16.145714,16.314285,16.0975,331237200,0.049,0.856,0.096,0.9175,0
1461,16.065001,15.809286,16.136429,15.772142,442839600,0,0.913,0.087,0.3506,1
1462,15.271428,15.349643,15.647857,15.228572,529519200,0.114,0.768,0.118,0.0634,1
1463,15.406072,15.428214,15.617143,15.368215,363216000,0.084,0.777,0.139,0.9723,0
1464,15.491428,15.275714,15.535714,15.1875,358447600,0.034,0.821,0.146,0.99,0
1465,15.160714,15.114285,15.176785,14.988571,383695200,0.056,0.828,0.115,0.93,0
1466,15.173214,15.221786,15.267858,15.088928,300829200,0.062,0.881,0.057,-0.7988,0
1467,15.227143,15.249286,15.303572,15.098214,306614000,0.049,0.869,0.082,0.8555,1
1468,15.289286,15.560357,15.609285,15.214643,375928000,0.04,0.911,0.05,0.6369,0
1469,15.49,15.511786,15.6425,15.4,328364400,0.03,0.904,0.066,0.9056,0
1470,15.505357,15.35,15.505357,15.324643,238613200,0.051,0.801,0.148,0.9879,1
1471,15.25,14.994643,15.281786,14.983929,317520000,0.034,0.818,0.147,0.9904,1
1472,15.056071,15.222857,15.236072,15.020357,305771200,0.036,0.861,0.103,0.9704,0
1473,15.009643,14.385715,15.021428,14.218214,945056000,0.043,0.837,0.12,0.9885,0
1474,14.463928,14.001785,14.4925,13.919286,666299200,0.096,0.775,0.129,0.8922,1
1475,13.856071,13.9475,14.271428,13.753572,609274400,0.033,0.774,0.193,0.9944,1
1476,14.022857,14.238214,14.364285,13.973928,429920400,0.021,0.855,0.124,0.9753,1
1477,14.428214,14.504642,14.585,14.243215,664238400,0.058,0.819,0.123,0.9639,1
1478,14.055,14.480714,14.830358,14.017858,969651200,0.035,0.879,0.086,0.9501,0
1479,14.686786,14.585,14.783571,14.535714,384837600,0.071,0.837,0.092,0.735,1
1480,14.636071,14.9,14.956072,14.580358,764097600,0.067,0.814,0.119,0.932,1
1481,15.016071,15.361428,15.486428,15,640326400,0.01,0.868,0.122,0.9468,1
1482,15.539286,15.813571,15.901786,15.431071,691538400,0.066,0.8,0.133,0.7783,0
1483,15.873571,15.688929,15.890357,15.513928,506909200,0.024,0.883,0.093,0.9584,1
1484,15.777857,15.911428,16.02107,15.736786,421828400,0.04,0.874,0.085,0.899,0
1485,16.118214,16.070715,16.186787,16.041071,361300800,0.044,0.784,0.172,0.9945,1
1486,16.275356,16.453928,16.507143,16.225357,496641600,0.026,0.897,0.078,0.9089,0
1487,16.606071,16.380714,16.633928,16.203571,483753200,0.054,0.868,0.077,0.4854,0
1488,16.421785,16.313213,16.535715,16.270714,398487600,0.051,0.82,0.129,0.9738,0
1489,16.356071,16.1775,16.418215,16.088572,334852000,0.029,0.862,0.109,0.9538,1
1490,16.125357,16.240715,16.353571,16.125,316948800,0.058,0.841,0.102,0.8276,0
1491,16.208929,15.852143,16.257143,15.791072,447118000,0.04,0.885,0.075,0.9209,0
1492,15.684286,15.316072,15.75,15.084286,741613600,0.053,0.836,0.111,0.9493,1
1493,15.115714,15.520715,15.6375,14.960714,603204000,0.019,0.841,0.14,0.991,0
1494,15.680357,15.473572,15.7175,15.393214,427904400,0.027,0.866,0.107,0.975,1
1495,15.425357,15.818929,15.921429,15.360714,451578400,0.05,0.914,0.036,-0.4565,1
1496,15.648214,15.702143,15.91,15.507143,456022000,0.087,0.866,0.047,-0.8934,1
1497,15.858929,15.7625,16.012501,15.650714,443038400,0.108,0.801,0.091,-0.7938,1
