,Open,neg,neu,pos,compound,label
516,3.230714,0.022,0.894,0.084,0.9475,0
517,3.155,0.047,0.828,0.125,0.9763,0
518,3.006428,0.126,0.769,0.105,-0.4588,0
519,3.031071,0.053,0.78,0.166,0.9866,1
520,3.2075,0.045,0.878,0.077,0.9041,1
521,3.317857,0.04,0.893,0.067,0.6694,1
522,3.439286,0.066,0.813,0.121,0.872,0
523,3.401428,0.015,0.921,0.064,0.8559,1
524,3.568214,0.044,0.879,0.076,0.7149,1
525,3.6375,0.033,0.892,0.075,0.8276,0
526,3.646071,0.055,0.788,0.157,0.9565,0
527,3.668214,0.065,0.872,0.063,0.2869,1
528,3.798571,0.046,0.854,0.099,0.8998,1
529,3.842143,0.072,0.865,0.062,-0.6662,0
530,3.851071,0.039,0.836,0.125,0.9743,1
531,3.865357,0.052,0.918,0.031,-0.6016,0
532,3.7325,0.053,0.854,0.093,0.8338,0
533,3.766071,0.051,0.926,0.023,-0.3182,0
534,3.933571,0.031,0.952,0.018,-0.2869,1
535,4.078214,0.053,0.848,0.099,0.924,1
536,4.105,0.007,0.914,0.08,0.9638,1
