,neg,neu,pos,compound,Open,label
1226,0.119,0.817,0.064,-0.9845,11577.54004,0
1227,0.107,0.781,0.113,0.6243,11502.12988,1
1228,0.118,0.78,0.102,-0.9395,11543.21973,1
1231,0.168,0.791,0.041,-0.9946,11807.95996,1
1232,0.189,0.684,0.128,-0.9865,11912.62988,0
1233,0.12,0.805,0.075,-0.9758,11707.75977,1
1234,0.167,0.76,0.074,-0.976,11872.07031,1
1235,0.171,0.785,0.044,-0.9957,12207.33984,1
1238,0.106,0.815,0.079,-0.89,12229.21973,0
1239,0.106,0.771,0.123,0.8748,11951.53027,0
1240,0.164,0.764,0.072,-0.9821,11658.49023,1
1241,0.145,0.762,0.093,-0.9742,11835.58984,1
1242,0.158,0.743,0.099,-0.9762,12043.41016,0
1245,0.165,0.771,0.064,-0.9917,11983.01953,1
1246,0.198,0.734,0.068,-0.9975,12055.51953,1
1247,0.123,0.821,0.056,-0.9753,12166.40039,0
1248,0.157,0.776,0.067,-0.9947,11780.03027,1
1249,0.159,0.763,0.078,-0.9932,11896.28027,1
1252,0.16,0.762,0.078,-0.9928,12153,0
1253,0.141,0.8,0.059,-0.9908,12077.91992,1
1254,0.096,0.839,0.065,-0.9615,12084.74023,0
1255,0.138,0.815,0.047,-0.9953,11905.66992,0
1256,0.115,0.81,0.075,-0.9225,11768.98047,1
1259,0.136,0.824,0.04,-0.9908,11795.54981,0
1260,0.209,0.697,0.094,-0.9975,11542.38965,0
1261,0.159,0.793,0.048,-0.9962,11492.74023,0
1263,0.178,0.755,0.067,-0.9943,11251.87988,0
1266,0.163,0.754,0.084,-0.9917,11232.46973,1
1267,0.11,0.818,0.071,-0.9673,11523.00977,1
1268,0.116,0.831,0.053,-0.9858,11559.26953,1
1269,0.199,0.745,0.057,-0.9974,12046.20996,0
1270,0.192,0.714,0.093,-0.9918,12022.37012,0
1273,0.218,0.688,0.095,-0.9984,12021.54004,1
1274,0.166,0.756,0.078,-0.9951,12097.75,1
1275,0.167,0.751,0.081,-0.9919,12144.41016,1
1276,0.161,0.762,0.077,-0.9936,12195.91016,0
1277,0.174,0.772,0.054,-0.9947,11996.03027,1
